REGION_DE_NAISSANCE,NIVEAU,SESSION,MENTION,MOYENNE ANNUELLE,RESULTAT,RESULTAT APP EVALUATION,Année BAC,Sexe,Série,Ets. de provenance,Académie de l'Ets. Prov.,Résidence,Centre d'Ec.,Nbre Fois au BAC,Mention,Groupe Résultat,Année de l'Extrait EC,Moy. nde,Moy. ère,Moy. S Term.,Moy. S Term..1,MATH,SCPH,FR,PHILO,AN,SVT,Tot. Pts au Grp.,Moyenne au Grp.,Moy. Gle,Moy. sur Mat.Fond.,Age en Décembre 2018,Score DAP,Rang DAP,Score L1,Rang L1
 Dakar,1,Deuxième Session,,5.56,NON ADMIS,1,2018,F,S1,LYCEE MIXTE MAURICE DELAFOSSE,Académie de Dakar,DAKAR,UNIVERSITE AMADOU HAMPATE BA,1,Pass,1,1998,14.79,13.62,11.41,10.62,13,13,9,7,7,9.0,293,10.85,10.85,13.0,20,295.0,26,5.56,272
 Kolda,1,Deuxième Session,,8.32,NON ADMIS,1,2018,M,S2,"ECOLE PRIVEE LAIQUE ""LYCEE D'ELITE""",Académie de Tambacounda,TAMBACOUNDA,LYCEE MAME CHEIKH MBAYE,3,Pass,2,2003,10.12,9.3,13.85,11.53,10,11,10,7,7,3.0,208,8.0,10.27,11.18,21,140.4,305,8.32,203
 Kaolack,1,Deuxième Session,,8.9,AUTORISE,1,2018,M,S2,LYCEE VALDIODIO NDIAYE,Académie de Kaolack,KAOLACK,COLLEGE PIE XII,1,Pass,1,2011,10.39,12.9,12.05,11.96,16,11,9,6,7,6.0,260,10.0,10.0,10.71,18,220.0,165,8.9,179
 Dakar,1,Deuxième Session,,5.99,NON ADMIS,1,2018,F,S2,LYCEE SEYDINA ISSA ROHOU LAHI,Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,2,Pass,2,1997,9.59,9.09,10.92,9.9,15,7,7,6,6,10.0,238,9.15,10.42,11.47,22,168.15,249,5.99,265
 Saint-Louis,1,Première Session,Passable,10.87,PASSE,1,2018,F,S1,LYCEE AMETH FALL,Académie de Saint - Louis,SAINT LOUIS,LYCEE TECHNIQUE ANDRE PEYTAVIN,1,Pass,1,1999,15.3,12.65,12.7,12.96,7,12,14,12,12,9.0,288,10.67,10.67,9.5,19,245.0,103,110.87,68
 Dakar,1,Deuxième Session,,4.83,NON ADMIS,1,2018,M,S2,LYCEE DE THIAROYE,Académie de Pikine - Guédiawaye,PIKINE,CEM THIAROYE 44,1,Pass,2,1996,11.62,8.29,10.74,10.27,17,5,6,10,9,5.0,223,8.58,10.65,11.0,22,183.0,227,4.83,297
 Thiès,1,Première Session,Passable,11.7,PASSE,1,2018,M,S1,LYCEE DE TAIBA  NDIAYE,Académie de Thiès,TAIBA NDIAYE,LYCEE DE TAIBA  NDIAYE,1,ABien,1,1998,14.49,13.63,12.45,12.69,12,11,13,16,9,11.0,324,12.0,12.0,11.5,20,294.0,28,111.7,41
 Thiès,1,Deuxième Session,,9.24,NON ADMIS,1,2018,M,S2,LYCEE ABABACAR SY,Académie de Thiès,TIVAOUANE,LYCEE ABABACAR SY,3,Pass,2,2009,11.15,9.73,11.43,12.05,14,9,5,5,9,4.0,214,8.23,11.81,14.0,21,162.0,261,9.24,167
 Dakar,1,Première Session,Passable,11.2,PASSE,1,2018,F,S1,"ECOLE PRIVEE ""ROSE DIENG KUNTZ""",Académie de Pikine - Guédiawaye,GUEDIAWAYE,LYCEE SEYDINA LIMAMOULAYE,1,ABien,1,1999,16.71,13.18,13.74,12.4,10,14,11,13,13,14.0,327,12.11,12.11,12.0,19,304.0,18,111.2,53
 Thiès,1,Première Session,Passable,11.35,PASSE,1,2018,M,S1,LYCEE ABABACAR SY,Académie de Thiès,TIVAOUANE,LYCEE ABABACAR SY,1,Pass,1,1999,15.69,13.02,12.08,12.96,9,12,8,13,12,13.0,292,10.81,10.81,10.5,19,263.0,69,111.35,51
